category,error_code_number,error_code_name,message,cause,recommendation,resolution
Azure Data Lake Analytics,2703,,"Error Id: E_CQO_SYSTEM_INTERNAL_ERROR (or any error that starts with ""Error Id:"").",The error is from Data Lake Analytics.,"The job was submitted to Data Lake Analytics, and the script there, both failed. Investigate in Data Lake Analytics. In the portal, go to the Data Lake Analytics account and look for the job by using the Data Factory activity run ID (don't use the pipeline run ID). The job there provides more information about the error, and will help you troubleshoot. If the resolution isn't clear, contact the Data Lake Analytics support team and provide the job Universal Resource Locator (URL), which includes your account name and the job ID. Azure functions",
Azure functions,3602,,Invalid HttpMethod: '%method;'.,The Httpmethod specified in the activity payload isn't supported by Azure Function Activity.,"The supported Httpmethods are: PUT, POST, GET, DELETE, OPTIONS, HEAD, and TRACE.",
Azure functions,3603,,Response Content is not a valid JObject.,The Azure function that was called didn't return a JSON Payload in the response. Azure Data Factory and Synapse pipeline Azure function activity only support JSON response content.,"Update the Azure function to return a valid JSON Payload such as a C# function may return (ActionResult)new OkObjectResult("" {\""Id\"":\""123\""}"");",
Azure functions,3606,,Azure function activity missing function key.,The Azure function activity definition isn't complete.,Check that the input Azure function activity JSON definition has a property named functionKey .,
Azure functions,3607,,Azure function activity missing function name.,The Azure function activity definition isn't complete.,Check that the input Azure function activity JSON definition has a property named functionName .,
Azure functions,3608,,Call to provided Azure function '%FunctionName;' failed with status- '%statusCode;' and message - '%message;'.,The Azure function details in the activity definition may be incorrect.,Fix the Azure function details and try again.,
Azure functions,3609,,Azure function activity missing functionAppUrl.,The Azure function activity definition isn't complete.,Check that the input Azure Function activity JSON definition has a property named functionAppUrl .,
Azure functions,3610,,There was an error while calling endpoint.,The function URL may be incorrect.,Verify that the value for functionAppUrl in the activity JSON is correct and try again.,
Azure functions,3611,,Azure function activity missing Method in JSON.,The Azure function activity definition isn't complete.,Check that the input Azure function activity JSON definition has a property named method .,
Azure functions,3612,,Azure function activity missing LinkedService definition in JSON.,The Azure function activity definition isn't complete.,Check that the input Azure function activity JSON definition has linked service details. Azure Machine Learning,
Azure Machine Learning,4101,,AzureMLExecutePipeline activity '%activityName;' has invalid value for property '%propertyName;'.,Bad format or missing definition of property %propertyName; .,Check if the activity %activityName; has the property %propertyName; defined with correct data.,
Azure Machine Learning,4110,,AzureMLExecutePipeline activity missing LinkedService definition in JSON.,The AzureMLExecutePipeline activity definition isn't complete.,Check that the input AzureMLExecutePipeline activity JSON definition has correctly linked service details.,
JSON,4111,,"AzureMLExecutePipeline activity has wrong LinkedService type in JSON. Expected LinkedService type: '%expectedLinkedServiceType;', current LinkedService type: Expected LinkedService type: '%currentLinkedServiceType;'.",Incorrect activity definition.,Check that the input AzureMLExecutePipeline activity JSON definition has correctly linked service details.,
JSON,4112,,AzureMLService linked service has invalid value for property '%propertyName;'.,Bad format or missing definition of property '%propertyName;'.,Check if the linked service has the property %propertyName; defined with correct data.,
JSON,4121,,Request sent to Azure Machine Learning for operation '%operation;' failed with http status code '%statusCode;'. Error message from Azure Machine Learning: '%externalMessage;'.,The Credential used to access Azure Machine Learning has expired.,Verify that the credential is valid and retry.,
JSON,4122,,Request sent to Azure Machine Learning for operation '%operation;' failed with http status code '%statusCode;'. Error message from Azure Machine Learning: '%externalMessage;'.,"The credential provided in Azure Machine Learning Linked Service is invalid, or doesn't have permission for the operation.","Verify that the credential in Linked Service is valid, and has permission to access Azure Machine Learning.",
JSON,4123,,Request sent to Azure Machine Learning for operation '%operation;' failed with http status code '%statusCode;'. Error message from Azure Machine Learning: '%externalMessage;'.,The properties of the activity such as pipelineParameters are invalid for the Azure Machine Learning (ML) pipeline.,Check that the value of activity properties matches the expected payload of the published Azure Machine Learning pipeline specified in Linked Service.,
JSON,4124,,Request sent to Azure Machine Learning for operation '%operation;' failed with http status code '%statusCode;'. Error message from Azure Machine Learning: '%externalMessage;'.,The published Azure Machine Learning pipeline endpoint doesn't exist.,Verify that the published Azure Machine Learning pipeline endpoint specified in Linked Service exists in Azure Machine Learning.,
JSON,4125,,Request sent to Azure Machine Learning for operation '%operation;' failed with http status code '%statusCode;'. Error message from Azure Machine Learning: '%externalMessage;'.,There is a server error on Azure Machine Learning.,Retry later. Contact the Azure Machine Learning team for help if the issue continues.,
JSON,4126,,Azure ML pipeline run failed with status: '%amlPipelineRunStatus;'. Azure ML pipeline run Id: '%amlPipelineRunId;'. Please check in Azure Machine Learning for more error logs.,The Azure Machine Learning pipeline run failed.,"Check Azure Machine Learning for more error logs, then fix the ML pipeline. Azure Synapse Analytics",
Azure Synapse Analytics,3250,,"There are not enough resources available in the workspace, details: '%errorMessage;'",Insufficient resources,"Try ending the running job(s) in the workspace, reducing the numbers of vCores requested, increasing the workspace quota or using another workspace.",
Azure Synapse Analytics,3251,,"There are not enough resources available in the pool, details: '%errorMessage;'",Insufficient resources,"Try ending the running job(s) in the pool, reducing the numbers of vCores requested, increasing the pool maximum size or using another pool.",
Azure Synapse Analytics,3252,,"There are not enough vcores available for your spark job, details: '%errorMessage;'",Insufficient virtual cores,"Try reducing the numbers of vCores requested or increasing your vCore quota. For more information, see Apache Spark core concepts.",
Azure Synapse Analytics,3253,,There are substantial concurrent MappingDataflow executions which is causing failures due to throttling under the Integration Runtime used for ActivityId: '%activityId;'.,Throttling threshold was reached.,Retry the request after a wait period.,
Azure Synapse Analytics,3254,,AzureSynapseArtifacts linked service has invalid value for property '%propertyName;'.,Bad format or missing definition of property '%propertyName;'.,Check if the linked service has property '%propertyName;' defined with correct data. Common,
Common,2103,,Please provide value for the required property '%propertyName;'.,The required value for the property has not been provided.,Provide the value from the message and try again.,
Common,2104,,The type of the property '%propertyName;' is incorrect.,The provided property type isn't correct.,Fix the type of the property and try again.,
Common,2105,,An invalid json is provided for property '%propertyName;'. Encountered an error while trying to parse: '%message;'.,The value for the property is invalid or isn't in the expected format.,Refer to the documentation for the property and verify that the value provided includes the correct format and type.,
Web Activity,2105,,"The value type '<provided data type>', in key '<key name>' is not expected type '<expected data type>'",Data generated in the dynamic content expression doesn't match with the key and causes JSON parsing failure.,Look at the key field and fix the dynamic content definition.,
Common,2106,,The storage connection string is invalid. %errorMessage;,The connection string for the storage is invalid or has incorrect format.,"Go to the Azure portal and find your storage, then copy-and- paste the connection string into your linked service and try again.",
Common,2110,,The linked service type '%linkedServiceType;' is not supported for '%executorType;' activities.,The linked service specified in the activity is incorrect.,"Verify that the linked service type is one of the supported types for the activity. For example, the linked service type for HDI activities can be HDInsight or HDInsightOnDemand.",
HDInsight,2111,,The type of the property '%propertyName;' is incorrect. The expected type is %expectedType;.,The type of the provided property isn't correct.,Fix the property type and try again.,
HDInsight,2112,,The cloud type is unsupported or could not be determined for storage from the EndpointSuffix '%endpointSuffix;'.,The cloud type is unsupported or couldn't be determined for storage from the EndpointSuffix.,Use storage in another cloud and try again. Custom The following table applies to Azure Batch.,
Custom,2500,,Hit unexpected exception and execution failed.,"Can't launch command, or the program returned an error code.","Ensure that the executable file exists. If the program started, verify that stdout.txt and stderr.txt were uploaded to the storage account. It's a good practice to include logs in your code for debugging.",
Custom,2501,,Cannot access user batch account; please check batch account settings.,Incorrect Batch access key or pool name.,Verify the pool name and the Batch access key in the linked service.,
Custom,2502,,Cannot access user storage account; please check storage account settings.,Incorrect storage account name or access key.,Verify the storage account name and the access key in the linked service.,
Custom,2504,,Operation returned an invalid status code 'BadRequest'.,"Too many files in the folderPath of the custom activity. The total size of resourceFiles can't be more than 32,768 characters.","Remove unnecessary files, or Zip them and add an unzip command to extract them. For example, use powershell.exe -nologo -noprofile -command ""& { Add-Type -A 'System.IO.Compression.FileSystem'; [IO.Compression.ZipFile]::ExtractToDirectory($zipFile, $folder); }"" ; $folder\yourProgram.exe",
Custom,2505,,Cannot create Shared Access Signature unless Account Key credentials are used.,Custom activities support only storage accounts that use an access key.,Refer to the error description.,
Custom,2507,,The folder path does not exist or is empty: ...,No files are in the storage account at the specified path.,The folder path must contain the executable files you want to run.,
Custom,2508,,There are duplicate files in the resource folder.,Multiple files of the same name are in different subfolders of folderPath.,"Custom activities flatten folder structure under folderPath. If you need to preserve the folder structure, zip the files and extract them in Azure Batch by using an unzip command. For example, use powershell.exe -nologo -noprofile -command ""& { Add-Type -A 'System.IO.Compression.FileSystem'; [IO.Compression.ZipFile]::ExtractToDirectory($zipFile, $folder); }"" ; $folder\yourProgram.exe",
Custom,2509,,Batch url ... is invalid; it must be in Uri format.,Batch URLs must be similar to https://mybatchaccount.eastus.batch.azure.com,Refer to the error description.,
Custom,2510,,An error occurred while sending the request.,The batch URL is invalid.,Verify the batch URL. HDInsight,
HDInsight,206,,The batch ID for Spark job is invalid. Please retry your job.,There was an internal problem with the service that caused this error.,This issue could be transient. Retry your job after sometime.,
HDInsight,207,,Could not determine the region from the provided storage account. Please try using another primary storage account for the on demand HDI.,There was an internal error while trying to determine the region from the primary storage account.,Try another storage.,
HDInsight,208,,Service Principal or the MSI authenticator are not instantiated. Please consider providing a Service Principal in the HDI on demand linked service which has permissions to create an HDInsight cluster in the provided subscription and try again.,There was an internal error while trying to read the Service Principal or instantiating the MSI authentication.,"Consider providing a service principal, which has permissions to create an HDInsight cluster in the provided subscription and try again. Verify that the Manage Identities are set up correctly.",
HDInsight,2300,,Failed to submit the job '%jobId;' to the cluster '%cluster;'. Error: %errorMessage;.,"The error message contains a message similar to The remote name could not be resolved. . The provided cluster URI might be invalid. If the error message contains a message similar to A task was canceled. , the job submission timed out. When the error message contains a message similar to User admin is locked out in Ambari or Unauthorized: Ambari user name or password is incorrect , the credentials for HDInsight are incorrect or have expired. When the error message contains a message similar to 502 - Web server received an invalid response while acting as a gateway or proxy server , this error is returned by HDInsight service. When the error message contains a message similar to Unable to service the submit job request as templeton service is busy with too many submit job requests or Queue root.joblauncher already has 500 applications, cannot accept submission of application , too many jobs are being submitted to HDInsight at the same time.","Verify that the cluster hasn't been deleted, and that the provided URI is correct. When you open the URI in a browser, you should see the Ambari UI. If the cluster is in a virtual network, the URI should be the private URI. To open it, use a Virtual Machine (VM) that is part of the same virtual network. For more information, see Directly connect to Apache Hadoop services. The problem could be either general HDInsight connectivity or network connectivity. First confirm that the HDInsight Ambari UI is available from any browser. Then check that your credentials are still valid. If you're using a self-hosted integrated runtime (IR), perform this step from the VM or machine where the self-hosted IR is installed. Then try submitting the job again. For more information, read Ambari Web UI. Correct the credentials and redeploy the linked service. First verify that the credentials work on HDInsight by opening the cluster URI on any browser and trying to sign in.",
HDInsight,2301,,Could not get the status of the application '%physicalJobId;' from the HDInsight service. Received the following error: %message;. Please refer to HDInsight troubleshooting documentation or contact their support for further assistance.,HDInsight cluster or service has issues.,"This error occurs when the service doesn't receive a response from HDInsight cluster when attempting to request the status of the running job. This issue might be on the cluster itself, or HDInsight service might have an outage. Refer to HDInsight troubleshooting documentation, or contact Microsoft support for further assistance.",
HDInsight,2302,,"Hadoop job failed with exit code '%exitCode;'. See '%logPath;/stderr' for more details. Alternatively, open the Ambari UI on the HDI cluster and find the logs for the job '%jobId;'. Contact HDInsight team for further support.",The job was submitted to the HDI cluster and failed there.,"1. Check Ambari UI: a. Ensure that all services are still running. b. From Ambari UI, check the alert section in your dashboard. i. For more information on alerts and resolutions to alerts, see Managing and Monitoring a Cluster . c. Review your YARN memory. If your YARN memory is high, the processing of your jobs may be delayed. If you do not have enough resources to accommodate your Spark application/job, scale up the cluster to ensure the cluster has enough memory and cores. 2. Run a Sample test job. a. If you run the same job on HDInsight backend, check that it succeeded. For examples of sample runs, see Run the MapReduce examples included in HDInsight 3. If the job still failed on HDInsight, check the application logs and information, which to provide to Support: a. Check whether the job was submitted to YARN. If the job wasn't submitted to yarn, use --master yarn . b. If the application finished execution, collect the start time and end time of the YARN Application.",
HDInsight,2303,,"Hadoop job failed with transient exit code '%exitCode;'. See '%logPath;/stderr' for more details. Alternatively, open the Ambari UI on the HDI cluster and find the logs for the job '%jobId;'. Try again or contact HDInsight team for further support.",The job was submitted to the HDI cluster and failed there.,"1. Check Ambari UI: a. Ensure that all services are still running. b. From Ambari UI, check the alert section in your dashboard. i. For more information on alerts and resolutions to alerts, see Managing and Monitoring a Cluster . c. Review your YARN memory. If your YARN memory is high, the processing of your jobs may be delayed. If you do not have enough resources to accommodate your Spark application/job, scale up the cluster to ensure the cluster has enough memory and cores. 2. Run a Sample test job. a. If you run the same job on HDInsight backend, check that it succeeded. For examples of sample runs, see Run the MapReduce examples included in HDInsight 3. If the job still failed on HDInsight, check the application logs and information, which to provide to Support: a. Check whether the job was submitted to YARN. If the job wasn't submitted to yarn, use --master yarn . b. If the application finished execution, collect the start time and end time of the YARN Application.",
HDInsight,2304,,MSI authentication is not supported on storages for HDI activities.,"The storage linked services used in the HDInsight (HDI) linked service or HDI activity, are configured with an MSI authentication that isn't supported.",Provide full connection strings for storage accounts used in the HDI linked service or HDI activity.,
HDInsight,2305,,Failed to initialize the HDInsight client for the cluster '%cluster;'. Error: '%message;',"The connection information for the HDI cluster is incorrect, the provided user doesn't have permissions to perform the required action, or the HDInsight service has issues responding to requests from the service.","Verify that the user information is correct, and that the Ambari UI for the HDI cluster can be opened in a browser from the VM where the IR is installed (for a self-hosted IR), or can be opened from any machine (for Azure IR).",
HDInsight,2306,,An invalid json is provided for script action '%scriptActionName;'. Error: '%message;',The JSON provided for the script action is invalid.,The error message should help to identify the issue. Fix the json configuration and try again. Check Azure HDInsight on-demand linked service for more information.,
HDInsight,2310,,Failed to submit Spark job. Error: '%message;',"The service tried to create a batch on a Spark cluster using Livy API (livy/batch), but received an error.","Follow the error message to fix the issue. If there isn't enough information to get it resolved, contact the HDI team and provide them with the batch ID and job ID, which can be found in the activity run Output in the service Monitoring page. To troubleshoot further, collect the full log of the batch job. For more information on how to collect the full log, see Get the full log of a batch job.",
HDInsight,2312,,"Spark job failed, batch id:%batchId;. Please follow the links in the activity run Output from the service Monitoring page to troubleshoot the run on HDInsight Spark cluster. Please contact HDInsight support team for further assistance.",The job failed on the HDInsight Spark cluster.,"Follow the links in the activity run Output in the service Monitoring page to troubleshoot the run on HDInsight Spark cluster. Contact HDInsight support team for further assistance. For more information on how to collect the full log, see Get the full log of a batch job.",
HDInsight,2313,,The batch with ID '%batchId;' was not found on Spark cluster. Open the Spark History UI and try to find it there. Contact HDInsight support for further assistance.,The batch was deleted on the HDInsight Spark cluster.,"Troubleshoot batches on the HDInsight Spark cluster. Contact HDInsight support for further assistance. For more information on how to collect the full log, see Get the full log of a batch job, and share the full log with HDInsight support for further assistance.",
HDInsight,2328,,"Failed to create the on demand HDI cluster. Cluster or linked service name: '%clusterName;', error: '%message;'",The error message should show the details of what went wrong.,The error message should help to troubleshoot the issue.,
HDInsight,2329,,"Failed to delete the on demand HDI cluster. Cluster or linked service name: '%clusterName;', error: '%message;'",The error message should show the details of what went wrong.,The error message should help to troubleshoot the issue.,
HDInsight,2331,,The file path should not be null or empty.,The provided file path is empty.,Provide a path for a file that exists.,
HDInsight,2340,,HDInsightOnDemand linked service does not support execution via SelfHosted IR. Your IR name is '%IRName;'. Please select an Azure IR instead.,The HDInsightOnDemand linked service doesn't support execution via SelfHosted IR.,Select an Azure IR and try again.,
HDInsight,2341,,"HDInsight cluster URL '%clusterUrl;' is incorrect, it must be in URI format and the scheme must be 'https'.",The provided URL isn't in correct format.,Fix the cluster URL and try again.,
HDInsight,2342,,Failed to connect to HDInsight cluster: '%errorMessage;'.,"Either the provided credentials are wrong for the cluster, or there was a network configuration or connection issue, or the IR is having problems connecting to the cluster.","1. Verify that the credentials are correct by opening the HDInsight cluster's Ambari UI in a browser. 2. If the cluster is in Virtual Network (VNet) and a self-hosted IR is being used, the HDI URL must be the private URL in VNets, and should have -int listed after the cluster name. For example, change https://mycluster.azurehdinsight.net/ to https://mycluster-int.azurehdinsight.net/ . Note the -int after mycluster , but before .azurehdinsight.net 3. If the cluster is in VNet, the self-hosted IR is being used, and the private URL was used, and yet the connection still failed, then the VM where the IR is installed had problems connecting to the HDI. Connect to the VM where the IR is installed and open the Ambari UI in a browser. Use the private URL for the cluster. This connection should work from the browser. If it doesn't, contact HDInsight support team for further assistance. 4. If self-hosted IR isn't being used, then the HDI cluster should be accessible publicly.",
HDInsight,2343,,User name and password cannot be null or empty to connect to the HDInsight cluster.,Either the user name or the password is empty.,Provide the correct credentials to connect to HDI and try again.,
HDInsight,2345,,Failed to read the content of the hive script. Error: '%message;',The script file doesn't exist or the service couldn't connect to the location of the script.,"Verify that the script exists, and that the associated linked service has the proper credentials for a connection.",
HDInsight,2346,,Failed to create ODBC connection to the HDI cluster with error message '%message;'.,"The service tried to establish an Open Database Connectivity (ODBC) connection to the HDI cluster, and it failed with an error.","1. Confirm that you correctly set up your ODBC/Java Database Connectivity (JDBC) connection. a. For JDBC, if you're using the same virtual network, you can get this connection from: Hive -> Summary -> HIVESERVER2 JDBC URL b. To ensure that you have the correct JDBC set up, see Query Apache Hive through the JDBC driver in HDInsight. c. For Open Database (ODB), see Tutorial: Query Apache Hive with ODBC and PowerShell to ensure that you have the correct setup. 2. Verify that Hiveserver2, Hive Metastore, and Hiveserver2 Interactive are active and working. 3. Check the Ambari user interface (UI): a. Ensure that all services are still running. b. From the Ambari UI, check the alert section in your dashboard. i. For more information on alerts and resolutions to alerts, see Managing and Monitoring a Cluster . 4. If these steps are not enough to resolve the issue, contact the Azure HDInsight team.",
HDInsight,2347,,Hive execution through ODBC failed with error message '%message;'.,"The service submitted the hive script for execution to the HDI cluster via ODBC connection, and the script has failed on HDI.","1. Confirm that you correctly set up your ODBC/Java Database Connectivity (JDBC) connection. a. For JDBC, if you're using the same virtual network, you can get this connection from: Hive -> Summary -> HIVESERVER2 JDBC URL b. To ensure that you have the correct JDBC set up, see Query Apache Hive through the JDBC driver in HDInsight. c. For Open Database (ODB), see Tutorial: Query Apache Hive with ODBC and PowerShell to ensure that you have the correct setup. 2. Verify that Hiveserver2, Hive Metastore, and Hiveserver2 Interactive are active and working. 3. Check the Ambari user interface (UI): a. Ensure that all services are still running. b. From the Ambari UI, check the alert section in your dashboard. i. For more information on alerts and resolutions to alerts, see Managing and Monitoring a Cluster . 4. If these steps are not enough to resolve the issue, contact the Azure HDInsight team.",
HDInsight,2348,,The main storage has not been initialized. Please check the properties of the storage linked service in the HDI linked service.,The storage linked service properties are not set correctly.,Only full connection strings are supported in the main storage linked service for HDI activities. Verify that you are not using MSI authorizations or applications.,
HDInsight,2350,,"Failed to prepare the files for the run '%jobId;'. HDI cluster: '%cluster;', Error: '%errorMessage;'","The credentials provided to connect to the storage where the files should be located are incorrect, or the files do not exist there.","This error occurs when the service prepares for HDI activities, and tries to copy files to the main storage before submitting the job to HDI. Check that files exist in the provided location, and that the storage connection is correct. As HDI activities do not support MSI authentication on storage accounts related to HDI activities, verify that those linked services have full keys or are using Azure Key Vault.",
HDInsight,2351,,Could not open the file '%filePath;' in container/fileSystem '%container;'.,The file doesn't exist at specified path.,"Check whether the file actually exists, and that the linked service with connection info pointing to this file has the correct credentials.",
HDInsight,2352,,The file storage has not been initialized. Please check the properties of the file storage linked service in the HDI activity.,The file storage linked service properties are not set correctly.,Verify that the properties of the file storage linked service are properly configured.,
HDInsight,2353,,The script storage has not been initialized. Please check the properties of the script storage linked service in the HDI activity.,The script storage linked service properties are not set correctly.,Verify that the properties of the script storage linked service are properly configured.,
HDInsight,2354,,The storage linked service type '%linkedServiceType;' is not supported for '%executorType;' activities for property '%linkedServicePropertyName;'.,The storage linked service type isn't supported by the activity.,"Verify that the selected linked service has one of the supported types for the activity. HDI activities support AzureBlobStorage and AzureBlobFSStorage linked services. For more information, read Compare storage options for use with Azure HDInsight clusters",
HDInsight,2355,,The '%value' provided for commandEnvironment is incorrect. The expected value should be an array of strings where each string has the format CmdEnvVarName=CmdEnvVarValue.,The provided value for commandEnvironment is incorrect.,"Verify that the provided value is similar to: ""commandEnvironment"": \""variableName=variableValue\"" ] Also verify that each variable appears in the list only once.",
HDInsight,2356,,The commandEnvironment already contains a variable named '%variableName;'.,The provided value for commandEnvironment is incorrect.,"Verify that the provided value is similar to: ""commandEnvironment"": \""variableName=variableValue\"" ] Also verify that each variable appears in the list only once.",
HDInsight,2357,,The certificate or password is wrong for ADLS Gen 1 storage.,The provided credentials are incorrect.,"Verify that the connection information in ADLS Gen 1 linked to the service, and verify that the test connection succeeds.",
HDInsight,2358,,The value '%value;' for the required property 'TimeToLive' in the on demand HDInsight linked service '%linkedServiceName;' has invalid format. It should be a timespan between '00:05:00' and '24:00:00'.,The provided value for the required property TimeToLive has an invalid format.,Update the value to the suggested range and try again.,
HDInsight,2359,,"The value '%value;' for the property 'roles' is invalid. Expected types are 'zookeeper', 'headnode', and 'workernode'.",The provided value for the property roles is invalid.,Update the value to be one of the suggestions and try again.,
HDInsight,2360,,The connection string in HCatalogLinkedService is invalid. Encountered an error while trying to parse: '%message;'.,The provided connection string for the HCatalogLinkedService is invalid.,Update the value to a correct Azure SQL connection string and try again.,
HDInsight,2361,,Failed to create on demand HDI cluster. Cluster name is '%clusterName;'.,"The cluster creation failed, and the service did not get an error back from HDInsight service.","Open the Azure portal and try to find the HDI resource with provided name, then check the provisioning status. Contact HDInsight support team for further assistance.",
HDInsight,2362,,Only Azure Blob storage accounts are supported as additional storages for HDInsight on demand linked service.,The provided additional storage was not Azure Blob storage.,Provide an Azure Blob storage account as an additional storage for HDInsight on-demand linked service. SSL error when linked service using HDInsight ESP cluster,
